,follower_count,user_id,user_name
577,470,569786814.0,LarsKehlen
578,1720,4826923685.0,bicionado
579,94,1.2243601193722184e+18,LaaaschM
580,226,1.3149526934509732e+18,FuerthParken
581,12,9.775427301371208e+17,jonasgraphie
582,1099,13443392.0,wuppertroll
583,157,1.3739477619855155e+18,eg_rocker
584,10,29949884.0,Twiterio
585,808,2405155336.0,schmettowa
586,20,1.2251555609176228e+18,MarohnMichael
587,7,1.3233562961927086e+18,MichaF1976
588,38,155200982.0,Bangser
589,2031,3957949635.0,ODDO60
590,600,1910561912.0,JoachimHeck
591,4136,91105288.0,f2135
592,52,42579759.0,lordle
593,15,59904778.0,Rechenschieber
594,24,941648280.0,wolter_daniel
595,1105,14581080.0,bayl
596,1067,1.2362177191350518e+18,Fahrradhauptst1
597,2102,3049271385.0,tuessl
598,25,1.1671800427425219e+18,MichaelTanger2
599,275,1.1333650011824701e+18,Tim_schaefer_
600,853,3776000483.0,sinter959
601,1988,3028170232.0,Jan_sagt
602,68,9.162011170123858e+17,cyberpunk1410
603,937,78261192.0,makeratschool
604,2551,2976569818.0,sepp_reitberger
605,25,32365368.0,alxndr2138
606,338,230047176.0,DerBash_
607,722,19587071.0,mschlenker
608,73,1.0713141464766792e+18,recke42
609,5086,617004214.0,ChessExplained
610,15,1.3473506825469542e+18,abgaserzeuger
611,881,38166686.0,tessarakt
612,5978,243629100.0,oz_online_de
613,2417,9.341916712559862e+17,WPSchill
614,669,49659366.0,fischchristian
615,624,4626999742.0,benediktg5
616,267,42718168.0,cooliopenguin
617,3953,390936754.0,TilmanWinkler
618,94,1.1503561565289431e+18,HeLo41336524
619,292,7.467519816209613e+17,HVolquardsen
620,2152,1.1232672156781609e+18,thestanceman1
621,303,124742847.0,Ko_Essen
622,90,9.296582496322478e+17,EinMetaWeiter
623,0,1.366294748932227e+18,vHRainer
624,84,9.611056721453834e+17,sax_dominik
625,1779,1252518612.0,NiNimmrod
