,users,follower_count
615,benediktg5,624
616,cooliopenguin,267
617,TilmanWinkler,3953
618,HeLo41336524,94
619,HVolquardsen,292
620,thestanceman1,2152
621,Ko_Essen,303
622,EinMetaWeiter,90
623,vHRainer,0
624,sax_dominik,84
625,NiNimmrod,1779
626,Olaf891162841,8
627,HeinerMe,511
628,corwin42,51
629,steffen100,128
630,JoergRupp,2715
631,Landmilch1,11
632,bruderbru,31
633,SPeitsch,721
634,derneunte,274
635,jaronschaechter,130
636,KeelAbove,38
637,swisscleandrive,630
638,MarkusStadtmann,1
639,Soundsteffen,6
640,wiesson,194
641,_MLohmann,44
642,WernerderChamp,654
643,VDA_online,7506
644,LOGISTIK_HEUTE,7591
645,DottoreWingel,66
646,BeneHoelker,31
647,TilRemen,298
648,MarcoPast_Dir,115
649,InezHusseni,439
650,swisscleantechD,3770
651,Megachecker1,50
652,droelf_o_mat,8
653,Anzugmensch,2012
654,ElektroautoMeme,966
655,Druckspueler1,538
656,Glog78,105
657,MoritzZptr,72
658,hustenpastille,75
659,ArsenalCologne,103
660,Gege59535416,3
661,jtkrefelder,952
662,SvenHan1967,237
663,Ingenieur_P,74
664,KeElvanSu,77
665,moritur_et_ride,1268
666,Robowarp1,236
667,hgrdlmn,171
668,daniel_eik,258
669,freizeitradler,595
670,mitchback81,314
671,chrisX107,533
672,Joffrey77855104,4626
673,berlinhimmel,18
674,k3sro,82
675,publictorsten,3333
676,nicnowak,220
677,CarstenGross,79
678,Sebastian14065,26
679,Sukani123,2253
680,nachrichten_kl,2181
681,bnw_ev,6776
682,KyleSut35297503,20
683,jstrehmann,430
684,mlevenhagen,296
685,Belfarod1,32
686,flobby,1106
687,StarneyDude,140
688,neuepresse,54455
689,JoFrie_,924
690,morgenmicha,603
691,adrian_santonja,186
692,bus_blickpunkt,387
693,TomD10919,14
694,tronicum,289
695,sandraenkhardt,1993
696,tuxflo,101
697,dachstuber,254
698,lumpi_00,443
699,fokusenergie,157
700,cj5762cj,108
701,Pema29249541,14
702,SinelliBuster,38
703,Hilde16931885,8
704,HoeckShk,0
705,CetCenseo,6
706,EltonRimko,4
707,wiwiingit_a,106
708,wiwiingit_b,100
709,wiwiingit_m,117
710,JEDIftGisela,223
711,meyerdietmar631,14
712,die_miez,170
713,pille35,190
714,mathiasrichel,15088
715,bobbyaxefive,730
716,hankarus,74
717,meamZ_DE,120
718,almankaninchen,2238
719,Juergen160419,3
720,mrcockpit,45
721,7VAMPIR,2864
722,MorkOrg,265
723,Elke__Kuhn,528
724,Benzingeruch,299
725,mjw_2nd,326
726,DerGiga,491
727,EnBW,15520
728,_Transport_,1647
729,harceh,88
730,taxi_heute,718
731,med7sportarten,1566
732,mb0dm3r,40
733,koysino,1431
734,MakeCatcontent,69
735,dr_larcher,1544
736,Coldwater91,20
737,buddsen,10
738,_MaxDev_,1583
739,arifkoray,762
740,MineCooky,526
741,RsselsheimerEc2,334
742,IvIac_Gyver,62
743,gforcefabi,7
744,XKengine,1
745,rainerbartl,1816
746,UweWolef,99
747,Holkre,214
748,torsti79,360
749,9vBlock,5
750,IMScudetto2021,279
751,Xivios343,22
752,eCaroos,153
753,MarioBuchinger,215
754,shiwago160,5
755,___clarity___,181
756,EV_Stevee,1776
757,AbteilungArchie,48
758,klaus_wiens,7
759,balatonzeitung,997
760,the_infinity,1481
761,a_braxes,44
762,DocOlliBrown,749
763,Schrumpfe,190
764,alcest,151
765,BavarianGeek,260
766,pr3mut05,796
767,technikjuli,1150
768,KarstenVonW,682
769,JackTheQuila,28
770,firmenpresse,528
771,ripthebones,25
772,RuedigerDavid,174
773,ulmel,236
774,_the_guitarman_,66
775,Sandocan2,311
776,macwinnie,933
777,AlexanderStraub,2080
778,pjanik_otm,646
779,MartinFehringe3,1309
780,WOLKEFN,404
781,outthemouse,37
782,Tstormwitch,183
783,net4_energy,52
784,SWP_Pforzheim,798
785,Gemeindebund,5243
786,Markus306,933
787,BoernyA,210
788,SubtletyGranted,9
789,geco_de,263
790,ncschulze,65
791,Josefin52299334,18
792,Manuel0St,45
793,koepfle_h,165
794,Schneeanemone,304
795,obstkuchen88,51
796,VanjariMukesh,31
797,HerrmannPierre,327
798,cycletux,573
799,bp_Deutschland,2804
800,martin_thiele,3
801,Siemens_Schweiz,4140
802,AntjeKhler7,10
803,kaffeetrinkr,217
804,LtCmdMoe,84
805,Strandbeutel,235
806,usbscsi,294
807,clscholz,204
808,GIGATECHDE,1434
809,Ozzy_Ostkreuz,0
810,krille_der_1,770
811,C0leslavv,4
812,Tolotgucky761,1
813,nerdswire,1403
814,ERAKUU,473
815,petra_weigelt,3
816,ParkHere_muc,295
817,JonOfUs,6222
818,karl_popp,1882
819,Luenendonk,1033
820,WirtschaftNRW,21672
821,RodFlanders,52
822,Migstein,75
823,BuirerFuerBuir,5388
824,marq_us,1197
825,benniphd,445
826,lt_jaykay,912
827,stadt_pforzheim,3221
828,GrueneLandtagBY,9996
829,MarBel78,1826
830,ladegruen,77
831,agentsinaction,263
832,Naturschuetzen,5384
833,thospee,252
834,ffmac,58
835,HIThomasFranke,2367
836,esteesch,14
837,xtremetitschn,378
838,leumund,7199
839,CarPr5,6
840,RedaktionNews,100
841,Norman1981,129
842,ErneuerbareEHH,884
843,Techaktien1,1561
844,FraunhoferIFAM,1072
845,sofa_review,51
846,MarkusGroll,528
847,ElektrischST,157
848,RoslerFrank,1646
849,elektromob_nrw,2460
850,DieMeinung,101
851,boersenzeitung,29279
852,Fridgeir9,68
853,nightix,12
854,christianschuff,294
855,Moritz_77,925
856,NuovaRealta,8135
857,_PrivatePress,365
858,DerMaeder,216
859,ImEffizienzhaus,340
860,FrauAdebar,123
861,t3n,165842
862,derWitzer,121
863,rammc,3498
864,GVGotha,115
865,profi_youth,1010
866,AstridSalmhofer,683
867,therealschendi,298
868,nowucme_sven,333
869,FranzP19,13
870,KurtKlaas,79
871,leo06912277,1114
872,UdoBleibtZuhaus,344
873,KtikerV,4367
874,WahlheimatRuhr,4249
875,hae_aehm,155
876,irony_many,340
877,MarcToenis,10
878,ronnyrossin,718
879,OliDerBolli,218
880,Di2tweet,3
881,kaatrin_de,158
882,chri_gru,3596
883,peterpstuttgart,1639
884,andre_kahlen,10
885,chhay_lu,0
886,BIQ2,324
887,arnehess,3525
888,awol166,11
889,annette_kempf,73
890,DerBrunki,1102
891,jdoeschner,19603
892,Sedios1,62
893,lelei,1018
894,mrz_online,9
895,dabinichwieder2,62
896,weare_chaos,106
897,StoreAndCharge,138
898,RalphKittl,18
899,BonnerBlogs,2192
900,heikovfischer,264
901,energyblawg,204
902,windjournal,1165
903,BernhardWardin,94
904,Lizzankala,95
905,bvm_hh,3146
906,Windeck24,283
907,sbamueller,3403
908,Mobility_Suisse,1309
909,eichner_robert,27
910,try_elvah,189
911,hasepost,2298
912,Tellos44,280
913,KeffOberrhein,98
914,J0RAKU,89
915,JPinSH,74
916,Infraspinat,5
917,CatWeaz45215111,1032
918,swbbn,111
919,Berndte3,1368
920,umweltHB,1188
921,kai_kunstmann,254
922,Flash43094,1
923,drechenfeule,121
924,masta_de,139
925,Uehmche,1501
926,AirElectricApp,69
927,ChristianEnder,143
928,wolframtheymann,185
929,Grumpi_baer,340
930,agoraverkehr,10294
931,WalterSchmidtB1,183
932,StefanWaanders,10
933,hochbahn,94143
934,markus1780,31
935,GNUmatic,331
936,GNogarole,287
937,hofmeierr,2554
938,RealValueLover,21
939,PeterGrubl,101
940,enerson_de,303
941,AlexSch06617279,174
942,fkamolz,3696
943,DanWeb2_0,2250
944,SchuGue,350
945,BernauLIVE,1588
946,Efahrer_com,38
947,m_hofer68,70
948,NRW_E4C,351
949,TspBackgroundMT,2954
950,streetartfreak,8
951,MikeSpheniscida,134
952,LynnMea18960950,431
953,e_Mobil2014,180
